cell_id,lat,lon,state_code,state_name,electricity_maps_zone_id,month,solar_cf,wind_cf,avg_electricity_cost_cents_per_kwh,pct_solar_state,pct_wind_state,pct_hydro_state,pct_fossil_state,carbon_g_per_kwh_zone,renewable_pct_zone,carbon_free_pct_zone
pnw_001,47.6062,-122.3321,WA,Washington,US-NW-BPAT,2026-02,0.18,0.35,4.2,4.0,8.0,66.0,18.0,120.0,82.0,89.0
pnw_002,45.5152,-122.6784,OR,Oregon,US-NW-BPAT,2026-02,0.19,0.33,3.9,3.0,12.0,52.0,19.0,110.0,76.0,84.0
ca_001,36.7783,-119.4179,CA,California,US-CAL-CISO,2026-02,0.28,0.22,6.1,28.0,7.0,10.0,33.0,180.0,54.0,63.0
ca_002,34.0522,-118.2437,CA,California,US-CAL-CISO,2026-02,0.27,0.2,6.6,28.0,7.0,10.0,33.0,190.0,54.0,63.0
desert_001,32.2226,-110.9747,AZ,Arizona,US-SW-AZPS,2026-02,0.32,0.17,4.6,8.0,7.0,5.0,46.0,250.0,31.0,44.0
desert_002,33.4484,-112.074,AZ,Arizona,US-SW-AZPS,2026-02,0.31,0.18,4.8,8.0,7.0,5.0,46.0,280.0,31.0,44.0
rockies_001,39.7392,-104.9903,CO,Colorado,US-CENT-PSCO,2026-02,0.26,0.31,4.1,7.0,24.0,4.0,47.0,430.0,35.0,46.0
rockies_002,41.14,-104.8202,WY,Wyoming,US-WEST-PACE,2026-02,0.25,0.38,3.8,1.0,15.0,2.0,79.0,410.0,18.0,20.0
plains_001,39.0119,-98.4842,KS,Kansas,US-CENT-SWPP,2026-02,0.24,0.43,3.6,1.0,45.0,1.0,21.0,500.0,47.0,48.0
plains_002,35.4676,-97.5164,OK,Oklahoma,US-CENT-SWPP,2026-02,0.25,0.4,3.7,1.0,42.0,1.0,33.0,470.0,44.0,45.0
plains_003,46.8772,-96.7898,ND,North Dakota,US-MIDW-MISO,2026-02,0.21,0.41,3.5,1.0,36.0,3.0,41.0,455.0,40.0,52.0
tx_001,31.9686,-99.9018,TX,Texas,US-TEX-ERCO,2026-02,0.27,0.39,3.4,5.0,28.0,1.0,56.0,390.0,34.0,39.0
tx_002,29.4241,-98.4936,TX,Texas,US-TEX-ERCO,2026-02,0.26,0.29,3.5,5.0,28.0,1.0,56.0,360.0,34.0,39.0
tx_003,33.5779,-101.8552,TX,Texas,US-TEX-ERCO,2026-02,0.29,0.36,3.3,5.0,28.0,1.0,56.0,345.0,34.0,39.0
midwest_001,41.8781,-87.6298,IL,Illinois,US-MIDW-MISO,2026-02,0.2,0.32,4.6,1.0,12.0,1.0,20.0,320.0,15.0,74.0
midwest_002,44.9778,-93.265,MN,Minnesota,US-MIDW-MISO,2026-02,0.19,0.34,4.3,2.0,25.0,3.0,28.0,290.0,31.0,56.0
midwest_003,39.7684,-86.1581,IN,Indiana,US-MIDW-MISO,2026-02,0.21,0.28,4.4,1.0,9.0,1.0,67.0,490.0,12.0,12.0
gulf_001,29.7604,-95.3698,TX,Texas,US-TEX-ERCO,2026-02,0.24,0.28,3.8,5.0,28.0,1.0,56.0,350.0,34.0,39.0
gulf_002,30.4515,-91.1871,LA,Louisiana,US-MIDW-MISO,2026-02,0.23,0.25,4.0,1.0,1.0,0.0,74.0,370.0,5.0,25.0
gulf_003,30.3322,-81.6557,FL,Florida,US-FLA-FMPP,2026-02,0.22,0.2,4.5,6.0,0.0,0.0,74.0,310.0,9.0,31.0
southeast_001,33.749,-84.388,GA,Georgia,US-SE-SOCO,2026-02,0.23,0.21,4.9,3.0,0.0,4.0,39.0,340.0,7.0,44.0
southeast_002,35.2271,-80.8431,NC,North Carolina,US-SE-DUK,2026-02,0.22,0.19,4.7,6.0,0.0,2.0,41.0,320.0,9.0,51.0
southeast_003,36.1627,-86.7816,TN,Tennessee,US-TVA-TVA,2026-02,0.21,0.2,4.3,1.0,0.0,10.0,22.0,410.0,12.0,54.0
northeast_001,42.3601,-71.0589,MA,Massachusetts,US-NE-ISNE,2026-02,0.17,0.24,7.1,3.0,4.0,1.0,57.0,240.0,18.0,32.0
northeast_002,40.7128,-74.006,NY,New York,US-NY-NYIS,2026-02,0.16,0.2,7.6,2.0,5.0,22.0,32.0,260.0,29.0,62.0
northeast_003,39.9526,-75.1652,PA,Pennsylvania,US-MIDA-PJM,2026-02,0.18,0.21,6.3,1.0,2.0,1.0,39.0,300.0,4.0,40.0
appalachia_001,38.3498,-81.6326,WV,West Virginia,US-MIDA-PJM,2026-02,0.19,0.23,4.5,0.0,3.0,2.0,89.0,610.0,5.0,5.0
appalachia_002,37.5407,-77.436,VA,Virginia,US-MIDA-PJM,2026-02,0.2,0.22,5.0,2.0,0.0,3.0,48.0,400.0,5.0,42.0
