cell_id,lat,lon,region,solar_cf,wind_cf,avg_price_per_mwh,carbon_intensity_g_per_kwh,nearest_transmission_km
pnw_001,47.6062,-122.3321,Pacific Northwest,0.18,0.35,42.0,120.0,6.2
pnw_002,45.5152,-122.6784,Pacific Northwest,0.19,0.33,39.0,110.0,8.4
ca_001,36.7783,-119.4179,California,0.28,0.22,61.0,180.0,5.1
ca_002,34.0522,-118.2437,California,0.27,0.2,66.0,190.0,12.7
desert_001,32.2226,-110.9747,Desert Southwest,0.32,0.17,46.0,250.0,5.5
desert_002,33.4484,-112.074,Desert Southwest,0.31,0.18,48.0,280.0,9.5
rockies_001,39.7392,-104.9903,Rockies,0.26,0.31,41.0,430.0,10.2
rockies_002,41.14,-104.8202,Rockies,0.25,0.38,38.0,410.0,6.8
plains_001,39.0119,-98.4842,Great Plains,0.24,0.43,36.0,500.0,4.3
plains_002,35.4676,-97.5164,Great Plains,0.25,0.4,37.0,470.0,5.9
plains_003,46.8772,-96.7898,Great Plains,0.21,0.41,35.0,455.0,7.1
tx_001,31.9686,-99.9018,Texas,0.27,0.39,34.0,390.0,3.8
tx_002,29.4241,-98.4936,Texas,0.26,0.29,35.0,360.0,8.1
tx_003,33.5779,-101.8552,Texas,0.29,0.36,33.0,345.0,6.0
midwest_001,41.8781,-87.6298,Midwest,0.2,0.32,46.0,520.0,11.4
midwest_002,44.9778,-93.265,Midwest,0.19,0.34,43.0,470.0,9.0
midwest_003,39.7684,-86.1581,Midwest,0.21,0.28,44.0,490.0,8.6
gulf_001,29.7604,-95.3698,Gulf Coast,0.24,0.28,38.0,350.0,6.4
gulf_002,30.4515,-91.1871,Gulf Coast,0.23,0.25,40.0,370.0,7.3
gulf_003,30.3322,-81.6557,Gulf Coast,0.22,0.2,45.0,310.0,9.9
southeast_001,33.749,-84.388,Southeast,0.23,0.21,49.0,340.0,10.8
southeast_002,35.2271,-80.8431,Southeast,0.22,0.19,47.0,320.0,12.1
southeast_003,36.1627,-86.7816,Southeast,0.21,0.2,43.0,410.0,7.8
northeast_001,42.3601,-71.0589,Northeast,0.17,0.24,71.0,240.0,13.5
northeast_002,40.7128,-74.006,Northeast,0.16,0.2,76.0,260.0,14.2
northeast_003,39.9526,-75.1652,Northeast,0.18,0.21,63.0,300.0,10.7
appalachia_001,38.3498,-81.6326,Appalachia,0.19,0.23,45.0,610.0,9.7
appalachia_002,37.5407,-77.436,Appalachia,0.2,0.22,50.0,400.0,10.6
